Height,Shag,Little_Gull,Atlantic_Puffin,Black_Throated_Diver,Common_Tern,Northern_Fulmar,Lesser_Black_Backed_Gull,Herring_Gull,Arctic_Tern,Little_Auk,Black_Headed_Gull,Great_Black_backed_Gull,Sandwich_Tern,Arctic_Skua,Great_Skua,Common_Gull,Manx_Shearwater,Northern_Gannet,Black_legged_Kittiwake,Common_Guillemot,Razorbill
44,5.38E-05,0.000792602,3.26E-05,9.30E-07,0.000108928,3.40E-05,0.002387771,0.003061295,0.00042998,4.89E-25,0.000265921,0.004627403,0.000835009,7.33E-05,0.000437141,0.001609479,1.80E-25,1.27E-08,0.000635179,9.33E-13,4.74E-06
45,3.76E-05,0.000734217,3.37E-05,1.51E-06,0.000104016,3.26E-05,0.00218865,0.002838616,0.0002942,1.97E-24,0.000259663,0.004404557,0.000833899,5.84E-05,0.0004178,0.001453652,1.56E-26,5.27E-09,0.000570397,5.49E-13,4.86E-06
46,3.17E-05,0.000699763,3.08E-05,1.79E-06,9.85E-05,3.22E-05,0.002006085,0.002634234,0.000197338,8.50E-24,0.00024315,0.004159453,0.000832851,4.57E-05,0.000387275,0.001309261,1.38E-27,2.19E-09,0.000512282,3.29E-13,4.85E-06
47,2.81E-05,0.000635245,3.23E-05,2.24E-06,9.40E-05,3.28E-05,0.001846922,0.002471903,0.000146837,3.90E-23,0.00024399,0.003914295,0.000831861,3.60E-05,0.000365857,0.001182846,1.25E-28,9.14E-10,0.000460081,2.00E-13,4.63E-06
48,2.50E-05,0.000588907,3.28E-05,3.25E-06,8.98E-05,3.35E-05,0.001702626,0.002278403,0.000109302,1.89E-22,0.000232372,0.003682936,0.000830926,2.87E-05,0.000342809,0.001053482,1.18E-29,3.85E-10,0.00041314,1.24E-13,4.18E-06
49,2.24E-05,0.000528878,2.97E-05,5.65E-06,8.67E-05,3.24E-05,0.001567315,0.002144844,7.61E-05,9.59E-22,0.000225736,0.003493548,0.000830043,2.28E-05,0.000325113,0.000948821,1.16E-30,1.64E-10,0.000370885,7.89E-14,4.67E-06
50,2.01E-05,0.000490146,2.68E-05,8.11E-06,8.12E-05,3.11E-05,0.001424865,0.002015632,5.52E-05,5.09E-21,0.00021856,0.003291768,0.000829208,1.79E-05,0.000306597,0.000870107,1.20E-31,7.11E-11,0.000332817,5.11E-14,5.08E-06
51,1.82E-05,0.000477117,2.40E-05,1.19E-05,7.55E-05,2.87E-05,0.001299953,0.001866738,3.73E-05,2.80E-20,0.000214027,0.003113288,0.000828417,1.45E-05,0.000287259,0.000788717,1.32E-32,3.14E-11,0.000298497,3.39E-14,4.62E-06
52,1.65E-05,0.000451066,2.19E-05,1.11E-05,7.24E-05,2.88E-05,0.001197709,0.001732431,2.51E-05,1.59E-19,0.000211708,0.002970096,0.000827669,1.20E-05,0.000270023,0.000700713,1.54E-33,1.41E-11,0.000267537,2.30E-14,5.18E-06
53,1.50E-05,0.000413576,1.94E-05,9.79E-06,7.01E-05,2.99E-05,0.001099752,0.001613374,1.68E-05,9.19E-19,0.000204623,0.002810297,0.000826958,9.36E-06,0.000251217,0.000644479,1.94E-34,6.51E-12,0.000239597,1.60E-14,5.04E-06
54,1.37E-05,0.000375133,1.82E-05,1.17E-05,6.80E-05,3.08E-05,0.001011039,0.001497191,1.08E-05,5.42E-18,0.000199788,0.002652092,0.000826281,7.88E-06,0.000227016,0.000591759,2.63E-35,3.08E-12,0.000214376,1.14E-14,4.89E-06
55,1.26E-05,0.000355967,1.57E-05,1.24E-05,6.60E-05,2.71E-05,0.000929922,0.001404056,7.30E-06,3.23E-17,0.000192468,0.002481785,0.000577584,6.81E-06,0.000203155,0.000533256,3.89E-36,1.51E-12,0.000191607,8.34E-15,5.18E-06
56,1.16E-05,0.000338221,1.23E-05,1.06E-05,6.21E-05,2.67E-05,0.00085685,0.001320783,4.59E-06,1.94E-16,0.00019052,0.002325978,0.000315242,6.21E-06,0.000189307,0.000486485,6.32E-37,7.61E-13,0.000171053,6.29E-15,5.43E-06
57,1.07E-05,0.000338092,1.11E-05,9.09E-06,5.83E-05,2.90E-05,0.000796284,0.001235186,3.07E-06,1.16E-15,0.000186574,0.002172931,0.000152518,5.22E-06,0.000180727,0.000443651,1.13E-37,3.99E-13,0.000152503,4.88E-15,5.51E-06
58,9.47E-06,0.00030445,9.17E-06,7.87E-06,5.56E-05,2.94E-05,0.000732733,0.001148588,2.10E-06,6.86E-15,0.000192056,0.002026022,7.28E-05,4.50E-06,0.000173925,0.000404447,2.26E-38,2.18E-13,0.000135767,3.90E-15,5.76E-06
59,8.30E-06,0.000265496,7.54E-06,8.03E-06,5.27E-05,3.15E-05,0.000678616,0.001087231,1.35E-06,4.01E-14,0.000188193,0.001889676,3.23E-05,3.75E-06,0.000165752,0.000368593,5.07E-39,1.24E-13,0.000120678,3.22E-15,6.46E-06
60,7.75E-06,0.00024299,6.01E-06,7.14E-06,5.08E-05,2.67E-05,0.00063362,0.001020536,8.30E-07,2.29E-13,0.000185328,0.001771691,1.57E-05,3.11E-06,0.000157144,0.000343084,1.28E-39,7.38E-14,0.000107082,2.74E-15,7.19E-06
61,6.47E-06,0.000199883,4.94E-06,7.19E-06,4.85E-05,2.50E-05,0.000587626,0.000958138,5.21E-07,1.28E-12,0.000185678,0.001648809,7.54E-06,2.64E-06,0.00014554,0.000322929,3.68E-40,4.62E-14,9.48E-05,2.42E-15,8.05E-06
62,5.40E-06,0.000161147,4.00E-06,1.00E-05,4.77E-05,2.51E-05,0.000551665,0.000911239,3.34E-07,6.87E-12,0.000184973,0.001533421,3.27E-06,2.46E-06,0.000124611,0.000305119,1.21E-40,3.04E-14,8.38E-05,2.20E-15,9.02E-06
63,4.51E-06,0.00014086,3.13E-06,1.09E-05,4.54E-05,2.29E-05,0.000519482,0.000853545,1.96E-07,3.55E-11,0.00018671,0.00143386,1.47E-06,2.25E-06,0.000123254,0.000286694,4.69E-41,2.12E-14,7.40E-05,2.08E-15,1.02E-05
64,3.78E-06,0.000114196,2.44E-06,1.03E-05,4.45E-05,1.95E-05,0.000485875,0.000811147,1.14E-07,1.76E-10,0.000190132,0.001329732,5.62E-07,1.96E-06,0.000116842,0.000266964,2.17E-41,1.57E-14,6.51E-05,2.04E-15,1.02E-05
65,3.18E-06,9.37E-05,1.91E-06,1.50E-05,4.24E-05,1.74E-05,0.000464235,0.000772096,6.17E-08,8.23E-10,0.00019476,0.001235329,1.86E-07,1.71E-06,0.000110008,0.000251646,1.22E-41,1.23E-14,5.72E-05,2.08E-15,1.06E-05
66,2.68E-06,7.90E-05,1.52E-06,1.69E-05,4.15E-05,1.58E-05,0.000436912,0.000741059,3.73E-08,3.64E-09,0.000200095,0.001153274,7.15E-08,1.76E-06,9.76E-05,0.00023748,8.28E-42,1.03E-14,5.01E-05,2.20E-15,1.09E-05
67,2.26E-06,5.79E-05,1.23E-06,1.90E-05,4.01E-05,1.49E-05,0.000411136,0.000705431,2.23E-08,1.51E-08,0.000202376,0.001073638,2.67E-08,1.60E-06,9.29E-05,0.000225079,6.10E-42,9.22E-15,4.37E-05,2.43E-15,1.16E-05
68,1.92E-06,4.11E-05,9.37E-07,1.61E-05,3.82E-05,1.27E-05,0.000393966,0.000680011,1.28E-08,5.80E-08,0.000213415,0.000983524,7.97E-09,1.57E-06,8.59E-05,0.000212949,5.03E-42,8.87E-15,3.81E-05,2.79E-15,1.30E-05
69,1.63E-06,3.13E-05,6.34E-07,2.09E-05,3.74E-05,1.13E-05,0.000380606,0.000656848,7.26E-09,2.07E-07,0.000225563,0.000897397,2.18E-09,1.44E-06,7.80E-05,0.000202514,4.47E-42,9.18E-15,3.31E-05,3.35E-15,1.47E-05
70,1.39E-06,2.37E-05,4.68E-07,2.43E-05,3.74E-05,1.01E-05,0.000367945,0.000629022,4.17E-09,6.78E-07,0.000233593,0.000839839,7.97E-10,1.49E-06,7.83E-05,0.000195153,4.40E-42,1.03E-14,2.87E-05,4.19E-15,1.61E-05
71,1.19E-06,1.60E-05,3.31E-07,2.67E-05,3.76E-05,8.25E-06,0.000356094,0.00060199,2.47E-09,2.03E-06,0.000243878,0.000776226,2.75E-10,1.42E-06,7.74E-05,0.000188749,4.80E-42,1.24E-14,2.47E-05,5.48E-15,1.63E-05
72,1.02E-06,1.15E-05,2.12E-07,2.58E-05,3.61E-05,6.18E-06,0.00034644,0.000576201,1.39E-09,5.52E-06,0.000245986,0.000719369,9.29E-11,1.24E-06,7.48E-05,0.000181265,5.87E-42,1.64E-14,2.13E-05,7.51E-15,1.64E-05
73,8.78E-07,8.49E-06,1.50E-07,1.93E-05,3.66E-05,4.94E-06,0.000333321,0.000553839,6.92E-10,1.35E-05,0.000251671,0.0006463,3.61E-11,1.43E-06,6.70E-05,0.000182733,7.87E-42,2.34E-14,1.83E-05,1.08E-14,1.89E-05
